date,message
2021-05-31 18:11:07+00:00,"🔰 ری دالیو: یوان دیجیتال می‌تواند با بیت کوین رقابت کند.

♻️  ری دالیو، بنیانگذار و مدیرعامل صندوق پوشش ریسک بریج واتر می‌گوید به رغم آنکه #بیت_کوین در سال‌های پیش رو می‌تواند شاهد کشش بازار باشد، اما #ارز_دیجیتال بانک مرکزی #چین نیز می‌تواند در آینده رقیبی جدی برای بیت کوین باشد. او در گفتگو سی‌ان‌بی‌سی عنوان کرد: «خواهیم دید که در سال‌های آتی یوان به یک ارز قوی‌تر، باثبات، جذاب‌تر و با کاربرد بیشتر تبدیل می‌شود.»

♻️ دالیو همچنین عنوان کرد که انتظار دارد روزی یوان به یکی از ارزهای برتر ذخایر جهان تبدیل شود. البته گفتنی است که صندوق بین‌المللی پول هم اکنون نیز یوان چین را به عنوان یکی از هشت ذخیره اصلی ارزی جهان به رسمیت شناخته است، هر چند که همچنان دلار آمریکا، فرانک سوییس و پوند بریتانیا از آن جلوتر هستند.

🚨 @NEWS_FUNDA"
2021-05-31 18:03:45+00:00,"🔰 آژانس نظارت بر خدمات مالی مسئول نظارت بر #ارزهای_دیجیتال در #کره_جنوبی شد.

♻️ پس از مدت‌ها بحث و جدل درباره نهاد مسئول نظارت بر بازار ارزهای دیجیتال، کره جنوبی تصمیم گرفته است که آژانس نظارت بر خدمات مالی (FSS) را مسئول این کار کند. روزنامه کره هرالد می‌گوید دولت این کشور پس از ماه‌ها تصمیم گرفته تا این نهاد ناظر را انتخاب کند و از این پس اقدامات نظارتی که از پیش تعیین شده‌اند به عهده آن خواهد بود و اعمال محدودیت‌های مصوب نیز در حیطه مسئولیت آژانس نظارت بر بازارهای مالی است.

♻️ دولت کره جنوبی همچنین اختیاراتی را به وزارت علوم و فناوری اطلاعات و ارتباط تفویض کرده است و این وزارتخانه از این پس مسئول هدایت و توسعه صنعت #بلاک_چین در کره خواهد بود.

🚨 @NEWS_FUNDA"
2021-05-31 17:46:05+00:00,"🔰 حجم ماهانه Crypto  Art در ماه مه 40 درصد کاهش یافت.

♻️ حجم کل معاملات #NFT در ماه مه 40 درصد کاهش یافت.( 100 میلیون دلار -60 میلیون #دلار)

♻️ دو ماه قبل حجم معاملات NFT از مرز 160 میلیون دلار فراتر رفته بود ، امروز حتی به 60 میلیون دلار هم نمی رسد ، یعنی تقریبا 65 درصد افت.

🚨 @NEWS_FUNDA"
2021-05-31 17:01:49+00:00,"🚨 تعداد #بلاک شده های صرافی #بایننس برای کاربرانی که از #VPN نامعتبر استفاده میکنند رو به افزایش است.


🚨 @NEWS_FUNDA"
2021-05-31 16:59:05+00:00,"🔰 افزایش#استخراج #ارزهای_دیجیتال خانگی در برزیل به دلیل نرخ بالای بیکاری.

♻️ همه گیری #کرونا و نامشخص بودن شرایط فعلی موجب شده است تا برزیلی های بیشتری به استخراج ارزهای دیجیتال روی آورند.

🚨 @NEWS_FUNDA"
2021-05-31 15:15:33+00:00,"🔰 دراکن‌میلر: #اتریوم مانند #مای_اسپیس پیش از ظهور #فیس_بوک است.

♻️ استنلی دراکن‌میلر، سرمایه‌گذار و #میلیاردر معروف به جدیدترین شخص غیرفنی تبدیل شده است که تردید‌های پیرامون در قدرت ماندن #بیت_کوین را رد کرده است. او در مصاحبه با هاستل گفت:« فکر می‌کنم بیت کوین برنده بازی ذخیره ارزش باشد، چرا که حالا دیگر یک برند است و ۱۳-۱۴ سال است که وجود دارد و همچنین از یک منبع محدود برخوردار است.»
♻️او درباره اینکه آیا قرار است بیت کوین جای #طلا را بگیرد، نظر مشخصی ندارد اما می‌گوید در ۲ سال اخیر به خوبی نقش طلا را تقلید کرده است. دراکن‌میلر همچنین به توان اتریوم برای حفظ جایگاه خود در میان #ارزهای_دیجیتال با شک و تردید می‌نگرد و معتقد است که اتریوم همانند شبکه اجتماعی مای اسپیس پیش از ظهور فیس بوک است.

🚨 @NEWS_FUNDA"
2021-05-31 15:08:57+00:00,"🔰 اخطاریه نهاد ناظر بازارهای مالی #ژاپن به #صرافی #بای‌بیت

♻️ آژانس خدمات مالی ژاپن اخطاریه رسمی خطاب به پلتفرم معاملات مشتقات بای‌بیت (Bybit) صادر کرده است و به این شرکت انجام خدمات کریپتویی ثبت نشده در این کشور هشدار داده است. صرافی بای‌بیت که در سنگاپور مستقر است، پنجمین صرافی بزرگ معامله مشتقات جهان از نظر حجم معاملات محسوب می‌شود. به نظر می‌رسد این اخطاریه در نتیجه بازاریابی تهاجمی این صرافی بوده باشد.
♻️ بنیانگذار هاب فناوری #توکیو فین‌تک می‌گوید چنین اخطاری مدت‌هاست که صادر نشده بود و به نظر می‌رسد بازاریابی تهاجمی صرافی، توجه نهاد ناظر را به خود جلب کرده است. او می‌گوید که این صرافی در نسخه ژاپنی سایت خود به اینکه سرمایه‌گذاران ژاپنی مجاز به دسترسی به این پلتفرم نیستند، اشاره‌ای نداشته و همچنین آی پی آدرس‌های ژاپنی را مسدود نکرده است.

🚨 @NEWS_FUNDA"
2021-05-31 14:46:41+00:00,"🚨 بانک رزرو هند اظهار می دارد که بانک ها نمی توانند سرمایه گذاران را در سرمایه گذاری در #رمزنگاری متوقف کنند.


🚨 @NEWS_FUNDA"
2021-05-31 14:33:01+00:00,"🔰 شرکت #ماینینگ استرالیایی: علیرغم نگرانی‌های محیط زیستی، #بیت_کوین به حیات خود ادامه خواهد داد.

♻️ شرکت ماینینگ استرالیایی آیریس انرژی (Iris Energy)، که برای فعالیت‌های خود از انرژی تجدیدپذیر بهره می‌برد، در مصاحبه با #بلومبرگ اظهار کرده است که علیرغم انتقادهای فزاینده پیرامون تاثیرات محیط زیستی بیت کوین، این #ارز_دیجیتال به حیات خود ادامه خواهد داد. دنیل رابرتس، مدیرعامل آیریس انرژی در این باره عنوان کرده است: «فکر نمی‌کنم که کسی بتواند در مورد نحوه استفاده انرژی تصمیم بگیرد. این تصمیم بازار است که بیت کوین، به دلیل پذیرش زیاد توسط مردم، این مقدار از انرژی را برای حفظ امنیت دارایی مردم استفاده می‌کند.

🚨 @NEWS_FUNDA"
2021-05-31 14:21:00+00:00,"🚨 هم اکنون کارمزد تراکنش‌های شبکه#اتریوم به زیر ۱ #دلار رسیده و فرصت بسیار مناسبی برای تراکنش هایی که به تعویق انداختید بدلیل #کارمزد بالا می‌باشد که می‌توانید استفاده کنید.

🚨 @NEWS_FUNDA"
